subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
Rhin-1	303	0	303	0	0	96.19	96.19	0.00	0.00	0.1659	0.1635
VES	12	0	12	0	0	3.81	3.81	0.00	0.00	0.1298	0.1268
