Subfamily	Assigned	TopN_Bitscore	Threshold
g3_71seqs	102608	2216	997
g6_58seqs	90733	2041	918
g4_77seqs	60698	2237	1007
g2_103seqs	60323	1966	885
g7_3seqs	46345	1993	897
g1_180seqs	14490	1937	872
g5_7seqs	5209	2385	1073
