subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
g3_71seqs	104616	568	105184	0	103892	22.20	22.32	0.00	99.31	1.1024	1.1021
g6_58seqs	88858	1285	90143	0	87512	18.85	19.13	0.00	98.49	0.8718	0.8666
g4_77seqs	61820	476	62296	0	61056	13.12	13.22	0.00	98.76	1.1066	1.1101
g2_103seqs	61462	613	62075	0	60686	13.04	13.17	0.00	98.74	0.9176	0.9180
g7_3seqs	40751	38699	79450	0	39900	8.65	16.86	0.00	97.91	0.7880	0.7983
g1_180seqs	13020	937	13957	0	12591	2.76	2.96	0.00	96.71	0.7701	0.7787
b3_Ccr	11299	2979	14278	0	10372	2.40	3.03	0.00	91.80	0.7542	0.7628
g5_7seqs	5223	38715	43938	0	5194	1.11	9.32	0.00	99.44	1.0918	1.1312
