subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
VES	14	0	14	0	0	60.87	60.87	0.00	0.00	0.1248	0.1226
Rhin-1	9	0	9	0	0	39.13	39.13	0.00	0.00	0.1510	0.1411
