subfamily	has_top100	has_rand100	has_subfam	n_members
7SLRNA	1	1	0	212
DANA	1	1	0	64
HE1_DR1	1	1	1	62702
HE2_DR	1	1	1	13800
LmeSINE1c	1	1	0	161
SINE2-1B_DR	1	1	1	1893
SINE2-1_DR	1	1	1	4376
SINE2-2_DR	1	1	0	239
SINE2-3_DR	1	1	1	32619
SINE2-4_DR	1	1	1	7267
SINE2-5_DR	1	1	1	4605
SINE3-1	1	1	1	3492
SINE3-1a	1	1	1	4047
SINE_DR1	1	1	1	1874
SINE_TE	1	1	1	463
