rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
159	tribe159	371662	8	5	3	s4_60seqs	4	50.00	80.00	s4_60seqs:4;s5_5seqs:1
160	tribe160	373123	8	4	4	s2_38seqs	4	50.00	100.00	s2_38seqs:4
161	tribe161	541	7	5	2	s4_60seqs	5	71.43	100.00	s4_60seqs:5
162	tribe162	1216	7	6	1	s6_7seqs	3	42.86	50.00	s6_7seqs:3;s8_225seqs:3
163	tribe163	2267	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
164	tribe164	18936	7	5	2	s8_225seqs	3	42.86	60.00	s8_225seqs:3;s3_43seqs:2
165	tribe165	88006	7	7	0	s3_43seqs	7	100.00	100.00	s3_43seqs:7
166	tribe166	101180	7	7	0	s7g_172seqs	7	100.00	100.00	s7g_172seqs:7
167	tribe167	130464	7	3	4	s4_60seqs	2	28.57	66.67	s4_60seqs:2;s6_7seqs:1
168	tribe168	130882	7	7	0	s3_43seqs	7	100.00	100.00	s3_43seqs:7
169	tribe169	130892	7	7	0	s3_43seqs	7	100.00	100.00	s3_43seqs:7
170	tribe170	130917	7	7	0	s3_43seqs	7	100.00	100.00	s3_43seqs:7
171	tribe171	130951	7	5	2	s7g_172seqs	5	71.43	100.00	s7g_172seqs:5
172	tribe172	131554	7	4	3	s4_60seqs	3	42.86	75.00	s4_60seqs:3;s6_7seqs:1
173	tribe173	142765	7	7	0	s4_60seqs	7	100.00	100.00	s4_60seqs:7
174	tribe174	154492	7	3	4	s6_7seqs	2	28.57	66.67	s6_7seqs:2;s4_60seqs:1
175	tribe175	160596	7	5	2	s6_7seqs	5	71.43	100.00	s6_7seqs:5
176	tribe176	160792	7	5	2	s8_225seqs	5	71.43	100.00	s8_225seqs:5
177	tribe177	164303	7	6	1	s6_7seqs	5	71.43	83.33	s6_7seqs:5;s4_60seqs:1
178	tribe178	164356	7	6	1	s4_60seqs	6	85.71	100.00	s4_60seqs:6
179	tribe179	164575	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
