subfamily	has_top100	has_rand100	has_subfam	n_members
t1_1	1	1	1	50028
t1-2	1	1	1	125929
t1-3	1	1	1	21619
t1-4	1	1	1	40337
t2	1	1	1	14659
t3-1	1	1	1	47120
t3-2	1	1	1	31357
t6-1	1	1	1	6012
t6-2	1	1	1	2308
t6-3	1	1	1	719
t6-4	1	1	1	1070
t6-5	1	1	1	436
t8-1	1	1	1	11212
t8-2	1	1	1	21021
