subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
Rhin-1	31409	24800	56209	0	11	55.79	99.84	0.00	0.04	0.6107	0.6450
VES	36	54	90	4	0	0.06	0.16	11.11	0.00	0.1280	0.1266
