subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
s8_225seqs	56247	773	57020	0	56123	14.40	14.60	0.00	99.78	0.9030	0.9038
s6_7seqs	54625	501	55126	0	53648	13.99	14.11	0.00	98.21	0.9555	0.9533
s7g_172seqs	52857	75971	128828	0	52690	13.53	32.98	0.00	99.68	0.9186	0.9359
s3_43seqs	51478	1057	52535	0	51233	13.18	13.45	0.00	99.52	0.9462	0.9597
s4_60seqs	31621	1401	33022	0	31374	8.10	8.45	0.00	99.22	0.9302	0.9445
s2_38seqs	26951	839	27790	0	26468	6.90	7.12	0.00	98.21	0.8487	0.8633
s1_30seqs	19837	2033	21870	0	19760	5.08	5.60	0.00	99.61	0.8778	0.8967
s9_20seqs	8489	491	8980	0	8383	2.17	2.30	0.00	98.75	0.8374	0.8513
s5_5seqs	4107	1299	5406	0	4000	1.05	1.38	0.00	97.39	0.8650	0.8862
