Subfamily	Assigned	TopN_Bitscore	Threshold
s8_225seqs	56247	2053	924
s6_7seqs	54625	2200	990
s7g_172seqs	52857	2146	966
s3_43seqs	51478	2168	976
s4_60seqs	31621	2130	959
s2_38seqs	26951	1930	869
s1_30seqs	19837	2078	935
s9_20seqs	8489	2066	930
s5_5seqs	4107	2086	939
