subfamily	has_top100	has_rand100	has_subfam	n_members
g01	1	1	1	11300
g02	1	1	0	30284
g03	1	1	1	2562
g04	1	1	1	537
g05	1	1	0	39656
g06	1	1	1	54897
g07	1	1	0	25604
g08	1	1	1	30940
g09	1	1	0	15982
g10	1	1	0	14774
g11	1	1	1	711
g12	1	1	1	1345
g13	1	1	0	4843
g14	1	1	1	404
g15	1	1	1	800
g16	1	1	1	4030
g17	1	1	1	493
g18	1	1	1	1254
g19	1	1	1	835
g20	1	1	0	215
g21	1	1	1	1175
g22	1	1	1	1015
g23	1	1	1	1212
g24	1	1	0	166
g25	1	1	1	2445
g26	1	1	0	224
g27	1	1	1	822
g28	1	1	0	137
g29	1	1	1	426
