subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
VES	620838	19453	640291	0	185	96.89	99.93	0.00	0.03	0.4971	0.4924
Rhin-1	368	93	461	184	4	0.06	0.07	50.00	1.09	0.1779	0.1802
